"
","British Gas","EDF","E.ON","npower","Scottish Power","SSE","Shell Energy","OVO","Utilita","Utility Warehouse","Bulb Energy","Octopus Energy","Avro Energy","Green Network Energy","So Energy","Small Suppliers"
"2012 Q4",24.7,13,16.9,13.5,11.7,18.3,,,,,,,,,,1.8
"2013 Q1",24.8,12.9,16.7,13.4,11.7,18.3,,,,,,,,,,2.2
"2013 Q2",24.9,13,16.6,13.2,11.7,18.2,,,,,,,,,,2.3
"2013 Q3",25,13,16.5,13.2,11.7,18.1,,,,,,,,,,2.4
"2013 Q4",24.3,13.4,16.6,11.9,11.7,17.7,1.1,,,1.5,,,,,,1.8
"2014 Q1",23.9,13.3,16.1,11.7,11.6,17.5,1.4,,,1.6,,,,,,3
"2014 Q2",23.8,13.1,15.9,11.5,11.5,17.2,1.8,1.2,,1.6,,,,,,2.4
"2014 Q3",23.6,13,15.6,11.3,11.3,17,2.2,1.3,,1.7,,,,,,2.8
"2014 Q4",23.6,12.9,15.7,11,11.2,16.6,2.5,1.5,,1.7,,,,,,3.2
"2015 Q1",23.6,12.5,15.7,10.9,11.2,16.3,2.8,1.6,,1.7,,,,,,3.6
"2015 Q2",23.5,12.4,15.7,10.8,11.2,16.1,3,1.6,,1.7,,,,,,4.1
"2015 Q3",23.5,12.2,15.5,10.5,11.1,15.9,3.1,1.7,,1.8,,,,,,4.6
"2015 Q4",23.5,12.2,15.3,10.2,11.1,15.6,3.2,2,1,1.8,,,,,,4.2
"2016 Q1",23.1,12,15.1,10.1,10.8,15.4,3.3,2.3,1.1,1.8,,,,,,4.9
"2016 Q2",22.8,12,14.6,9.9,10.9,15.3,3.4,2.4,1.3,1.8,,,,,,5.7
"2016 Q3",22.6,11.9,14.2,10.1,10.8,15.2,3.3,2.4,1.4,1.8,,,,,,6.3
"2016 Q4",22.8,11.8,14,9.9,10.7,15.1,3.2,2.4,1.6,1.8,,,,,,6.8
"2017 Q1",22.4,11.7,13.5,9.5,11,14.9,3.1,2.3,1.8,1.8,,,,,,8
"2017 Q2",22.3,11.5,13.4,9.6,10.6,14.4,2.9,2.4,1.9,1.8,,,,,,9.2
"2017 Q3",21.3,11.7,13.4,9.7,10.4,14.3,2.8,2.6,2,1.8,,,,,,10.2
"2017 Q4",20.5,11.4,13.5,9.6,10.2,14.2,2.9,2.8,2.1,1.8,,,,,,11.2
"2018 Q1",20.3,11.2,13.5,9.3,10,13.9,2.8,3,2.1,1.8,1.1,,,,,10.9
"2018 Q2",19.9,11.1,13.3,8.9,9.7,13.6,2.7,3.1,2.3,1.8,1.9,,,,,11.8
"2018 Q3",19.4,10.8,13.1,8.6,9.5,13.4,2.6,3.1,2.3,1.8,2.7,1.3,,,,11.4
"2018 Q4",19.2,10.8,13,8.2,10,13,2.5,4,2.3,1.8,3,1.6,,,,10.6
"2019 Q1",18.9,10.8,12.5,8,9.8,12.8,2.5,4.5,2.5,1.9,3.7,2.1,,,,10.2
"2019 Q2",18.9,10.6,12.1,7.7,9.3,12.6,2.8,4.4,2.5,1.9,4.5,2.5,1,,,9.3
"2019 Q3",18.7,10.6,12,7.3,9.1,12.4,2.7,4.2,2.6,1.9,5,3,1.2,1.1,,8.4
"2019 Q4",18.7,10.7,12,6.9,9.2,12.1,3.1,4,2.6,1.9,5.4,4.3,1.2,1.1,,6.7
"2020 Q1",18.4,10.6,12.1,6.7,9.2,0,2.9,15.8,2.6,1.9,5.7,4.9,1.4,1.1,,6.7
"2020 Q2",18.2,10.7,12,6.5,9.1,0,2.7,15.3,2.6,1.9,5.7,5.1,1.6,1.4,,7
"2020 Q3",18,10.4,12.3,5.8,8.8,0,2.9,14.9,2.7,1.9,5.9,5.7,1.9,1.3,,7.7
"2020 Q4",18.3,10.3,15.1,2.7,9,0,3.2,14.6,2.7,1.9,5.6,6.2,2,1.2,,7.4
"2021 Q1",18.1,11.3,17.3,0,9.1,0,3.2,14.3,2.6,1.9,5.7,7,2,0,,7.5
"2021 Q2",17.9,11,16.9,0,8.8,0,3.2,14.2,2.7,1.9,5.5,7.7,2,0,,8.2
"2021 Q3",19.3,11.6,16.7,0,8.8,0,3,14,2.7,1.9,5.3,8.4,2,0,,6.3
"2021 Q4",19.6,11.5,17.6,0,9.2,0,4.7,13.7,2.7,2,5.2,10.7,0,0,,3.2
"2022 Q1",20.2,11.5,17.6,0,9.3,0,4.7,13.6,2.7,2.1,5.1,10.8,0,0,1,1.6
"2022 Q2",20.3,11.4,17.5,0,9.2,0,4.6,13.6,2.7,2.2,5.1,10.9,0,0,1,1.6
"2022 Q3",20.3,11.4,17.4,0,9.2,0,4.6,13.4,2.6,2.4,5,11.1,0,0,1,1.6
"2022 Q4",20.4,11.4,17.3,0,9.1,0,4.5,13.3,2.6,2.6,5,11.2,0,0,1,1.6
"2023 Q1",20.4,11.3,17.2,0,8.9,0,4.4,13.3,2.6,2.7,0,16.6,0,0,1,1.6
"2023 Q2",20.4,11.2,17.1,0,8.8,0,4.4,13.2,2.6,2.8,0,16.9,0,0,1,1.6
"2023 Q3",20.4,11.1,16.9,0,8.7,0,4.2,13.1,2.7,2.8,0,17.4,0,0,1.1,1.6
"2023 Q4",20.3,10.9,16.8,0,8.6,0,0,13,2.7,2.9,0,22,0,0,1.1,1.7
"2024 Q1",20.2,10.8,16.7,0,8.5,0,0,12.9,2.7,3,0,22.4,0,0,1.1,1.7
"2024 Q2",20.1,10.8,16.5,0,8.4,0,0,12.8,2.8,3,0,22.7,0,0,1.1,1.8
"2024 Q3",20,10.6,16.2,0,8.3,0,0,12.7,2.7,3,0,23.4,0,0,1,2
"2024 Q4",20,10.5,16,0,8.2,0,0,12.6,2.7,3.1,0,24,0,0,1,2
